msa,Node Count,Edge Count,Degree Average,Edge Length Total (km),Edge Length Average (km),Streets per Node Average,Intersection Count,Street Length Total (km),Street Segment Count,Street Length Average (km),Circuity Average,Self-loop Proportion,Node Density (/sq km),Intersection Density (/sq km),Edge Density (km/sq km),Street Density (km/sq km),Building Area (sq km),Area (sq km),Car Mode Share,Transit Mode Share,Bicycle Mode Share,Walking Mode Share,Working from Home Share,Median Household Income,Households,Employment Rate (%),Unemployment Rate (%),Population,Housing Units,No Vehicles Available,1 Vehicle Available,2 Vehicles Available,3 or More Vehicles Available,GDP ($),Transit Diesel (gal),Transit Gasoline Vehicle Fuel Use (gal),Transit Liquefied Petroleum Gas (GGE),Transit Compressed Natural Gas (GGE),Transit Bio-Diesel (gal),Transit Other Fuel (GGE),Transit Electric Propulsion Vehicle Fuel Use (kWh),Transit Electric Battery Vehicle Fuel Use (kWh),Transit Diesel Vehicle Miles,Transit Gasoline Vehicle Miles,Transit Compressed Natural Gas Vehicle Miles,Transit Other Fuel Vehicle Miles,Transit Electric Propulsion Vehicle Miles,Transit Electric Battery Vehicle Miles,Cooling Degree Days (°Df),Heating Degree Days (°Df),Palmer Z Index,Average Temperature (°F),Precipitation (in),Population Density (/sq km),Built-Up Area Proportion,Cluster
"Dalton, GA",6715.0,16341.0,4.867014147431124,5499.575242000024,0.3365507155008888,2.4930752047654505,4726.0,2809.868782999991,8341.0,336.8743295767883,1.1012926012922888,0.0056348159693082,4.06475607268438,2.860765033433564,3.329029316769065,1.7008832761199528,13.684253761293164,1652.0056505052191,95.70402766792289,0.0418740985437119,0.0496285612369918,0.6296623706943346,2.7559360411917058,50322,50932,0.583,0.061,143911,56425,2748,14914,19409,13861,7639154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575.5,2931.5,1.3250000000000002,61.2,74.36,87.11289816471808,16.133771845539748,5
"Danville, IL",6307.0,17356.0,5.50372601870937,6849.589432000014,0.3946525369900907,2.809735214840653,5005.0,3478.8375100000035,8773.0,396.5390983699992,1.0402977967900604,0.0046734298415593,2.7039339710229866,2.1457411645742903,2.9365526482868054,1.4914455244899365,0.7968117906006345,2332.527372187959,90.62791670689712,0.8754143735315889,0.0868977503137974,2.0372694795790287,5.812493965434006,46842,31013,0.519,0.0579999999999999,76704,36035,2921,11312,11072,5708,3787537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.0,5482.0,0.43,52.4,40.7,32.88450155594533,8.567725683686417,5
"Daphne-Fairhope-Foley, AL",17941.0,43038.0,4.797725879270944,11113.367953999808,0.2582222211533949,2.55102837077086,12959.0,5858.519173000013,23067.0,253.97837486452568,1.0779624863375448,0.0160835826071877,3.418299772616481,2.4690790230944195,2.117430642113641,1.1162239984914577,7.774603461131945,5248.515693012892,90.96067890172816,0.0308966199097818,0.1215267049784753,1.1936394158479062,6.435765927207564,61756,84047,0.5579999999999999,0.039,218289,116747,2627,26347,35944,19129,9689371.0,0.0,78784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507479.0,0.0,0.0,0.0,0.0,2728.0,1293.0,-0.1,68.9,63.27,41.59061585556429,12.721653135520713,3
"Davenport-Moline-Rock Island, IA-IL",21448.0,56885.0,5.304457292055203,18742.8200059998,0.3294861563856869,2.8183047370384187,17093.0,9883.48947700007,30173.0,327.5607157723816,1.0454545525311407,0.0058993139561859,3.576777631459916,2.8505156683394413,3.1256480486730456,1.648221003455022,15.556681438447876,5996.458882808904,91.58710584611607,0.8107670760491705,0.2259880700618816,2.239234876934151,4.435504120794809,59876,154517,0.601,0.047,380274,170444,10400,50430,62079,31608,25079317.0,57586.0,181445.0,0.0,534802.0,0.0,0.0,0.0,285717.0,324862.0,1578031.0,1959230.0,0.0,0.0,132646.0,963.25,5964.0,0.5325,51.175,37.995000000000005,63.416427500269855,11.138681928824347,1
"Dayton-Kettering, OH",35069.0,91624.0,5.225355727280504,19357.78158299972,0.2112741375949502,2.76671704354273,27747.0,10306.675326999875,48469.0,212.644686851387,1.0516497788452823,0.0077781674884978,10.484391571997236,8.295372350172725,5.787292539888949,3.0813316585505537,38.72180242531939,3344.876978237421,89.60377509825415,1.5923856375157073,0.1967756597064406,2.621180119241772,5.298772825709168,57631,334252,0.5820000000000001,0.057,805929,370121,26188,113413,123243,71408,55157171.0,1032848.0,453833.0,0.0,0.0,0.0,0.0,3188890.0,0.0,4736295.0,3146292.0,0.0,0.0,525331.0,0.0,1041.6666666666667,4940.0,0.0966666666666666,54.2,41.59333333333333,240.9442874113365,28.563219073046653,3
"Decatur, AL",10821.0,27196.0,5.026522502541355,9943.451660000075,0.3656218436534812,2.641622770538768,8148.0,5214.131346999992,14256.0,365.7499541947245,1.079158694326216,0.0119248035914702,3.178201848224268,2.393123432153344,2.920459887583486,1.531426105158439,2.00525994004747,3404.755429881187,95.98823382150456,0.1502065339842283,0.0187758167480285,0.6978345224683941,2.5206533984228314,51842,58939,0.531,0.046,152321,67581,2711,17050,21262,17916,7368030.0,0.0,46877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304904.0,0.0,0.0,0.0,0.0,1631.5,2878.5,1.43,61.5,73.475,44.737721441952566,10.610561056105611,5
"Decatur, IL",6321.0,16968.0,5.368770764119601,5495.405666999963,0.3238687922560092,2.869482676791647,5126.0,2921.3962189999943,9030.0,323.52117596899166,1.036979310562622,0.0044296788482834,4.165895147677753,3.378322817116937,3.6217819653023207,1.9253647102003173,2.8809857867529898,1517.3209540628009,92.20613475333364,1.1354134577300532,0.0396074461998855,1.7339259780838798,4.246798398098842,53725,43810,0.5489999999999999,0.077,104688,50364,4209,15480,16290,7831,7279476.0,600.0,17396.0,0.0,0.0,342610.0,0.0,0.0,0.0,1478510.0,149971.0,0.0,0.0,0.0,0.0,1063.0,5282.0,0.17,53.3,39.92,68.99529049518883,14.480433230197535,5
"Deltona-Daytona Beach-Ormond Beach, FL",32969.0,84130.0,5.1035821529315415,16658.144858999985,0.1980048123023889,2.750492887257727,26196.0,9033.314176000034,45455.0,198.73092456275512,1.0694960716566502,0.0100758992410075,6.362483961328322,5.055404466345862,3.214752630982779,1.7432835864733534,47.14377825007117,5181.781235188674,87.66515344107499,0.8360268748865082,0.6348284002179045,1.0887960777192665,8.240784456146724,53339,264426,0.502,0.046,658961,315254,13667,101882,106160,42717,25709358.0,722781.0,392361.0,12913.0,0.0,0.0,0.0,0.0,0.0,3225803.0,1860438.0,0.0,79251.0,0.0,0.0,3721.5,660.5,-0.425,73.35,52.69499999999999,127.16881900090608,25.249581787929483,3
"Des Moines-West Des Moines, IA",32219.0,86749.0,5.38495918557373,30190.729559999727,0.3480239490945109,2.8803190663893976,26345.0,15998.990148000012,46316.0,345.4311716901289,1.0461696775757916,0.004749978409189,3.414488832371883,2.7919770411507887,3.1995378169334483,1.6955328591692422,24.020330760963407,9435.965844884313,89.07057085411506,0.9025471268453618,0.1930062317407773,1.7878764315785964,7.165946480343913,71734,271569,0.682,0.042,690585,291476,14601,80572,111196,65200,64171260.0,838324.0,206173.0,0.0,0.0,0.0,0.0,0.0,0.0,4056847.0,2099177.0,0.0,0.0,0.0,0.0,1002.6666666666666,6269.833333333333,-0.3483333333333333,50.45,28.105,73.1864666905719,12.06494379517524,4
"Detroit-Warren-Dearborn, MI",146391.0,386138.0,5.275433599060052,71488.1920310033,0.1851363813740251,2.904714087614676,124094.0,38576.989565000105,212881.0,181.2138686167394,1.0567736009494784,0.0097707169733325,13.463069510294142,11.412492214756654,6.574519598053522,3.54779113477938,168.92206296519845,10873.523299279292,89.85234541309566,1.324663952452606,0.2233439184326671,1.371214904356666,6.228768991530243,62768,1726401,0.584,0.065,4317384,1910964,147299,610479,638703,329920,283157302.0,5076368.0,461595.0,557976.0,278812.0,0.0,0.0,4764551.0,0.0,24006084.0,2037192.0,1283125.0,2512687.0,368693.0,0.0,762.8333333333334,6034.333333333333,0.3466666666666667,50.45,34.20666666666667,397.0547430827836,44.33716764244268,4
"Dothan, AL",12672.0,33332.0,5.260732323232324,12721.966378,0.3816742583103324,2.794270833333333,10373.0,6554.041934000014,17654.0,371.2496847173453,1.0557697262996624,0.0082134360484875,2.828938075762226,2.315701914447725,2.840092730846832,1.4631454211833126,8.589296021024984,4479.419365369343,95.04931127231234,0.0374928682044176,0.078245985817915,0.7270356182247942,3.110277936262124,47608,56912,0.522,0.053,148825,69902,3692,18612,20880,13728,8054966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2604.0,1484.0,0.8866666666666667,68.0,68.60333333333334,33.22417212163141,9.442990049303091,3
"Dover, DE",8018.0,19869.0,4.956098777750063,5535.471314999995,0.2785983851728821,2.714018458468446,6271.0,2941.284628999995,10857.0,270.9113593994653,1.070956152034814,0.008842221608179,3.8795604633776737,3.0342633656574445,2.678373117963981,1.4231593362695,3.922292185304984,2066.728969863577,90.70883966218484,0.8184181395290986,0.289804599559696,2.12067314270078,4.99011181731116,60117,67299,0.56,0.062,179124,73073,4505,21970,25489,15335,11075169.0,1875565.0,409802.0,1266760.0,0.0,0.0,0.0,0.0,269389.0,8456644.0,6887931.0,0.0,3405093.0,0.0,120831.0,1291.0,3907.0,0.87,57.7,55.76,86.67029040185363,19.20442149446276,4
"Dubuque, IA",5437.0,13784.0,5.070443259150267,4594.720732999966,0.3333372557312801,2.6952363435718225,4122.0,2450.8743480000053,7296.0,335.9202779605271,1.0622299027511208,0.0041118421052631,3.409677477261341,2.5850083798549286,2.881463269747232,1.537004058115356,4.178573826110598,1594.5789700810672,88.91383215409593,0.8719007436210939,0.2224850173377963,3.0125673969252973,6.349842656992243,64493,38655,0.65,0.0409999999999999,97193,41518,2243,12078,15776,8558,7679471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,6843.0,0.76,48.1,38.55,60.95213960777294,10.224655290225945,5
"Duluth, MN-WI",28903.0,71903.0,4.97546967442826,36662.40782899959,0.5098870398870643,2.5695256547763208,20073.0,18848.106965000065,37074.0,508.3915133247036,1.0725604698667943,0.0068241894589199,0.9924373578627826,0.6892431610690806,1.258870814749339,0.647184218837483,8.146157436492848,29123.248707850653,87.81298071020532,1.4812193519033416,0.5098687773982248,4.077505831714415,5.389731849465938,58729,124208,0.588,0.047,289276,152311,9552,37809,46107,30740,16546604.0,354705.0,23419.0,0.0,0.0,0.0,0.0,0.0,480480.0,1607500.0,188468.0,0.0,0.0,0.0,87240.0,284.25,9393.0,-0.6124999999999999,39.875,25.23,9.93282043847055,5.740546397736508,4
"Durham-Chapel Hill, NC",32806.0,76735.0,4.678107663232336,22182.97586000006,0.2890855002280584,2.50268243613973,22928.0,11684.310672999956,41017.0,284.8650723602398,1.072837750040004,0.0094838725406538,5.393155488282181,3.769257728322071,3.64677918691064,1.920846925345479,40.13910270028983,6082.895268137228,82.01361958792512,3.082004901501771,0.643523915001889,2.6709632839416084,10.229866871595506,64745,250974,0.607,0.046,636256,274384,14761,83017,96573,56623,62696786.0,1354630.0,364509.0,0.0,0.0,308279.0,0.0,0.0,0.0,6832136.0,2361114.0,0.0,0.0,0.0,0.0,1428.8,3117.2,1.362,60.3,61.448,104.59755954253694,15.674682857919722,3
"East Stroudsburg, PA",12393.0,30460.0,4.915678205438554,8053.570425999956,0.2643982411687444,2.5343338981683208,9000.0,4182.698774000016,15674.0,266.8558615541671,1.1075828513659605,0.0082301901237718,7.752217707371451,5.629787732295898,5.037765776163955,2.6164118050838203,4.47333745361677,1598.6393142978568,88.08545290293029,3.486315575178451,0.0,1.5408496939931036,5.519575534716832,68734,59950,0.5720000000000001,0.062,168824,81648,2905,17277,23463,16305,9607142.0,84789.0,129954.0,0.0,0.0,0.0,0.0,0.0,0.0,462837.0,801166.0,0.0,0.0,0.0,0.0,457.0,6138.0,0.01,49.3,49.04,105.60480934634695,19.88395691442836,5
"Eau Claire, WI",11281.0,29158.0,5.169399875897527,12205.034133999956,0.418582692022771,2.798244836450669,8991.0,6422.2593659999775,15721.0,408.51468519814114,1.0553096168631508,0.0062973093314674,2.583438416172636,2.05901026503042,2.795049556996172,1.470748299330632,4.936017032504212,4366.661086008314,88.02483669182651,0.4835768529418554,0.6370749948064538,2.63485908178104,7.509867737691296,62031,67646,0.6459999999999999,0.034,168307,73045,3722,19732,26930,17262,10480025.0,124251.0,16260.0,0.0,0.0,0.0,0.0,0.0,0.0,566513.0,0.0,0.0,0.0,0.0,0.0,542.5,7861.0,-0.065,44.75,29.94,38.54363704554275,9.050040400695186,3
"El Centro, CA",8682.0,24590.0,5.6645934116563,10563.91263200002,0.4296019777145189,2.9349228288412808,7203.0,5633.911167999993,12728.0,442.639155248271,1.0395437387745634,0.0019641734758013,0.7478631974235002,0.6204628669709136,0.9099702232515592,0.4853023289680305,2.804135231507997,11609.075068690076,88.53406274040516,0.743653303701171,0.4034532866056928,2.836139841012052,5.853491751431746,46222,45768,0.442,0.1369999999999999,180580,57855,3237,14402,15862,12267,11241240.0,129093.0,92948.0,0.0,0.0,0.0,0.0,0.0,0.0,633234.0,640193.0,0.0,0.0,0.0,0.0,4746.0,917.0,-0.61,75.4,2.69,15.55507212517112,3.247149156203627,3
"El Paso, TX",36058.0,94407.0,5.2363969160796495,27296.01337999995,0.2891312442933252,2.901575239891286,30026.0,14781.606420000096,52297.0,282.64731093561954,1.0669891709963886,0.0018739124615178,2.495141926027811,2.077739516082729,1.8888298684856053,1.0228577822559235,15.667358756910556,14451.28215908873,90.58021412338108,1.29322855343501,0.1388242381095808,1.4260288601078832,4.410886886996523,48193,274789,0.5579999999999999,0.062,841602,300662,19021,86427,101611,67730,44305417.0,0.0,0.0,0.0,2289191.0,0.0,0.0,427974.0,0.0,0.0,0.0,8826928.0,0.0,60022.0,0.0,2429.0,2361.5,-1.205,65.1,5.99,58.23718551303062,4.173813329843356,4
"Elizabethtown-Fort Knox, KY",9789.0,23366.0,4.77392992134028,8848.936064000007,0.378709923136181,2.500255388701604,6822.0,4643.347918000022,12207.0,380.384035225692,1.0888678119430135,0.012124191037929,3.109947092763118,2.1673367112912443,2.811290528785732,1.4751829970652617,2.8226586483798632,3147.641972038404,92.39718147828587,0.2861662352602818,0.1639344262295081,1.7644521138912856,4.219154443485763,56680,58528,0.557,0.06,152275,65903,2679,17586,21779,16484,8479291.0,5240.0,176637.0,0.0,0.0,0.0,0.0,0.0,0.0,35311.0,1152757.0,0.0,0.0,0.0,0.0,1146.6666666666667,4176.0,1.086666666666667,56.6,57.06999999999999,48.37748427321521,8.99797820561502,5
"Elkhart-Goshen, IN",8987.0,23967.0,5.333704239456994,6075.715036000022,0.2535033602870623,2.766440413931234,7078.0,3150.972786999984,12389.0,254.3363295665497,1.048368062175748,0.0074259423682298,7.427976354558543,5.850140941088835,5.02172778729765,2.604356443272873,14.399989080850016,1209.8853807584735,91.69887570592198,0.2891041914926688,1.1626340604113776,1.7802186415211647,4.014299777213616,58509,72362,0.637,0.044,205184,79389,5967,22063,27883,16449,16809776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,5927.0,-0.63,50.9,33.01,169.5896183747346,29.397308044628463,5
"Elmira, NY",4060.0,10714.0,5.277832512315271,3643.9543709999816,0.3401114775994009,2.774137931034483,3262.0,1904.6286559999985,5590.0,340.7206898032197,1.07694694993006,0.0076923076923076,3.814104917288192,3.064436019752237,3.4232572130061163,1.789274266615171,9.168683254876523,1064.469931489624,90.21523725641308,1.4422547616426291,0.4293735549928438,3.217549267863041,3.649675217439172,54883,34328,0.5479999999999999,0.059,84115,38983,3429,12878,12227,5794,4458522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,6352.0,-0.46,49.0,34.25,79.02055052160007,12.064426788052456,5
"Enid, OK",4996.0,14594.0,5.842273819055245,7038.374335000004,0.4822786306016173,3.0384307445956766,4200.0,3620.384007999998,7525.0,481.1141538870429,1.0164512673910464,0.0030564784053156,1.820527652717586,1.530467602364664,2.5647628316743907,1.319257245800745,1.5629311900262297,2744.2593319262355,92.40115025161754,0.3666427030913012,0.5463695183321351,1.1250898634076203,3.9719626168224296,55435,23709,0.573,0.051,61555,26776,1075,7982,9485,5167,3188161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747.0,3604.0,0.59,59.8,33.85,22.43046030084688,6.8848769939275005,3
"Erie, PA",10375.0,28802.0,5.5521927710843375,8667.464752999946,0.3009327391500572,2.9624096385542167,9018.0,4579.331558999989,15415.0,297.0698384041511,1.0461211813043014,0.0112228349010703,2.578015946788234,2.240823885121571,2.153721672429765,1.1378881720224192,13.180903809326756,4024.4126545941153,89.24749393140267,1.4903345994725763,0.3233897047556835,3.197606432309938,4.582295018508214,52863,110388,0.569,0.054,272046,121613,11699,40802,40289,17598,13330354.0,305979.0,187707.0,0.0,133824.0,0.0,0.0,0.0,0.0,1304163.0,938606.0,585687.0,0.0,0.0,0.0,566.0,5947.0,0.12,50.1,45.82,67.59893265156164,17.215970133156038,1
"Eugene-Springfield, OR",19981.0,48470.0,4.8516090285771485,18086.616894999912,0.3731507508768292,2.496671838246334,13768.0,9223.722685999996,24933.0,369.9403475714914,1.215594056734668,0.0045722536397545,1.6349956089866675,1.1266012484124135,1.4799829440342789,0.7547543211110906,22.565859745450943,12220.827927717652,79.90935860863163,2.876253795895831,3.303579644796172,4.37448237784117,8.497055305051992,54942,154516,0.5579999999999999,0.071,377749,163617,12321,51510,55769,34916,20232872.0,825156.0,151510.0,0.0,0.0,0.0,0.0,0.0,61087.0,3383204.0,1152004.0,0.0,0.0,0.0,31841.0,168.0,5320.0,-0.37,50.8,59.85,30.910262564391413,4.260862907181341,1
"Evansville, IN-KY",17940.0,46366.0,5.169007803790413,14054.670461000016,0.3031244977138424,2.692586399108138,13613.0,7387.666107,24107.0,306.4531508275605,1.0672652342216498,0.0061807773675695,4.585646871960378,3.479621564548307,3.592517036561797,1.8883627633585425,5.695687476452109,3912.207045356416,92.52729023972604,0.8922838184931506,0.1170537243150684,2.1317155393835616,3.2815175513698627,55553,129824,0.601,0.044,315186,142916,8104,42130,49278,30312,20128555.0,209550.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,1072693.0,0.0,1674.0,0.0,0.0,0.0,1355.0,4181.75,1.265,57.15,55.2175,80.5647544585119,12.24222661647388,3
"Fargo, ND-MN",11470.0,32019.0,5.58308631211857,16722.478055999894,0.5222673430150815,3.062772449869224,10011.0,8791.460622999992,17517.0,501.881636296169,1.0326496250228017,0.0033681566478278,1.5672025078137894,1.3678521626611897,2.284874415538282,1.2012205000620548,20.91615428873188,7318.773383026537,89.48411114578269,0.9259729610089912,0.4564553232559996,2.5377174331100645,5.317813368553203,65995,101722,0.722,0.031,243966,110404,6507,30400,43741,21074,17576032.0,217202.0,43782.0,0.0,0.0,0.0,0.0,0.0,0.0,1031585.0,281829.0,0.0,0.0,0.0,0.0,621.0,8934.0,0.7150000000000001,42.1,20.955,33.334274369773226,7.144104851406105,3
"Farmington, NM",15227.0,36902.0,4.846916661193932,19478.288104000152,0.5278382771665533,2.51796151572864,10724.0,10051.603546999955,19159.0,524.6413459470723,1.1048708104874274,0.0065765436609426,1.0572708805941986,0.7446097670908377,1.3524546408474252,0.6979226199199065,6.130189814553781,14402.174768534482,93.67045575268246,0.3420801019866142,0.0701157973016041,2.279825772867312,3.1105917348348027,47643,43582,0.498,0.0819999999999999,125608,51299,2343,13583,16239,11417,6471476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,5261.0,-1.79,53.2,4.68,8.721460614019577,1.8282333665730237,3
"Fayetteville, NC",28238.0,67345.0,4.769813726184574,17358.309256999783,0.2577520121315582,2.516077625894185,19787.0,9147.12094599997,35489.0,257.7452434838956,1.0669379118327516,0.0083969680746146,6.586184242052586,4.615087031570739,4.048623234546622,2.133459304295423,21.41226171990703,4287.459773703448,89.85227589459917,0.4716879998284771,0.0990544799639802,3.872558478591797,4.205741729379731,50133,192505,0.497,0.075,523480,220640,11867,67007,70227,43404,33475049.0,257652.0,70719.0,43674.0,0.0,0.0,0.0,0.0,0.0,1138097.0,63038.0,0.0,387412.0,0.0,0.0,1789.6666666666667,2396.333333333333,1.3733333333333333,63.26666666666667,62.48333333333333,122.0956061700435,23.91125136885533,3
"Fayetteville-Springdale-Rogers, AR",33165.0,81981.0,4.943826322930801,24540.541436000705,0.2993442558153804,2.534328358208956,23962.0,12564.657411999944,42007.0,299.1086583664614,1.1168054958859968,0.0091889446996929,4.796263445605359,3.465341917189676,3.5490095529882044,1.8170784577635983,23.323080301797315,6914.7577851228925,90.8256807633314,0.3629409772713691,0.4127407820561343,1.3991753152327642,6.464014661062528,61761,194800,0.623,0.035,526101,211669,7967,58320,81006,47507,33178749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.3333333333333,3710.6666666666665,0.4733333333333333,58.36666666666667,55.01333333333333,76.08379300456579,10.250485895252456,3
"Flagstaff, AZ",13528.0,33471.0,4.948403311649911,26433.15760500012,0.7897331303217744,2.56785925487877,9897.0,13537.895313000035,17351.0,780.2371801625287,1.1344376227701558,0.0087603019998847,0.2801509281128372,0.2049566628868088,0.5474034325838026,0.2803558498396946,9.565052256143382,48288.25694466837,80.57761508872069,1.6472267030648964,1.5898374488149896,8.442424618439013,6.891363692765852,59000,49016,0.565,0.081,142254,66807,2566,15391,18024,13035,9100103.0,187692.0,16095.0,0.0,0.0,0.0,0.0,0.0,0.0,902660.0,100270.0,0.0,0.0,0.0,0.0,1108.0,4622.0,-1.86,55.3,5.63,2.945933628604638,0.8733095786320841,1
"Flint, MI",15691.0,41778.0,5.325090816391562,9751.182480000012,0.2334047221025423,2.800395130966796,12516.0,5125.07681100002,21930.0,233.7016329685372,1.054887953049439,0.0067487460100319,9.323495708183843,7.436930232848702,5.794092664712102,3.045289124432556,10.821735258213392,1682.952455936348,92.1437463887681,1.4629584403052198,0.1036460784255326,1.11151484104623,4.4871603952847,50269,170581,0.525,0.089,406770,192583,14662,62457,60897,32565,17955316.0,98898.0,63687.0,804642.0,687422.0,0.0,310.0,0.0,0.0,430072.0,728046.0,2867657.0,4360360.0,0.0,0.0,725.0,6085.0,0.29,50.2,33.84,241.7002325675828,36.75916813188309,7
"Florence, SC",16532.0,41184.0,4.982337285264941,13118.633103000036,0.3185371285693482,2.570529881442052,12123.0,6751.4390170000215,21200.0,318.4641045754728,1.0655815308998535,0.0056603773584905,4.65589146215412,3.4141889786894746,3.694588184090871,1.901401359575648,3.412404333596416,3550.770058619712,93.49563449900678,0.2448376218413637,0.1732341663971913,0.9678015429389756,4.372430359865109,45037,78997,0.537,0.059,205095,92248,6785,25795,27500,18917,11759206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2112.0,1989.5,1.745,65.25,65.87,57.760710103465954,17.664512215004745,3
"Florence-Muscle Shoals, AL",13582.0,34548.0,5.087321454866736,10566.23833899984,0.3058422582783328,2.6568988366956265,10233.0,5457.207193999982,18026.0,302.7408850549197,1.0781526480737442,0.0120381670919782,3.9077865098937976,2.9442187715905783,3.040097455563704,1.570136994139929,16.480357988110427,3475.6248750060604,94.20548739403624,0.0297716980836428,0.0955828201632742,1.007536940409596,3.962769708080666,48244,60310,0.534,0.044,147827,71999,3617,17972,22201,16520,6377877.0,276.0,52172.0,0.0,0.0,0.0,0.0,0.0,0.0,2213.0,352742.0,0.0,0.0,0.0,0.0,1670.0,2868.5,1.62,61.65,76.715,42.532495685324,9.74318689103396,5
"Fond du Lac, WI",5686.0,14590.0,5.131902919451284,5834.53402099998,0.3998995216586689,2.750791417516708,4480.0,3044.2463699999994,7751.0,392.75530512191966,1.0428264972065802,0.0117404205908914,2.86657132774034,2.258571851613916,2.941454086409444,1.534743116218714,10.04463915753906,1983.554340677145,91.20592986790838,0.1672526845956476,0.439038297063575,2.6912477430390576,4.627957806709113,64147,41890,0.64,0.036,102654,45338,2489,12061,17024,10316,5873077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,7117.0,1.39,47.1,39.51,51.75255242311941,10.108958393388596,5
"Fort Collins, CO",19068.0,47497.0,4.98185441577512,11747.32097800008,0.247327641282609,2.6660373400461506,14490.0,6134.766297000034,25440.0,241.14647393868057,1.1387130124673095,0.0135613207547169,2.796143632199371,2.1248228042043675,1.7226346102389871,0.8996060266618396,21.84953203709301,6819.392172998505,80.34269890437048,1.4037411205849195,2.6991232774755645,2.8041986362094065,11.6578921445224,76366,134185,0.638,0.051,350523,144583,5493,35462,54652,38578,25214734.0,26094.0,45261.0,0.0,401877.0,4564.0,0.0,0.0,0.0,108523.0,915992.0,1373341.0,0.0,0.0,0.0,136.0,7889.0,-1.0,43.6,15.83,51.40091537599224,5.979975831134735,1
"Fort Smith, AR-OK",19351.0,49116.0,5.076326804816288,17781.111195000245,0.3620227867701003,2.604206500956023,14118.0,9191.93322200002,25115.0,365.9937575950634,1.1011775429624866,0.0057734421660362,3.008420184637297,2.194867250618023,2.764356044872045,1.4290319591185472,4.617606217463537,6432.279672506254,93.53904769090036,0.1942718107830285,0.0518686873449833,1.424974301423088,3.430877901109989,46424,98199,0.545,0.051,250260,111454,5512,33288,36629,22770,11293969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1667.75,3179.75,1.23,60.775,64.0575,38.90689036263397,6.750168954130441,3
"Fort Wayne, IN",18120.0,46048.0,5.082560706401766,12251.092841999924,0.2660504873610129,2.7421633554083886,14008.0,6538.892762000005,24791.0,263.7607503529509,1.0478737541015914,0.0101649792263321,7.011609966605328,5.420454327384516,4.7406117369080505,2.53025196802443,18.500301577538007,2584.2852192722294,91.88715834788611,0.7614831661454737,0.318299963448808,1.2275108638265035,5.180623807009707,57693,160865,0.632,0.05,409419,174335,8900,55652,61366,34947,24760309.0,298207.0,20802.0,0.0,0.0,0.0,0.0,0.0,0.0,1772034.0,89020.0,0.0,0.0,0.0,0.0,799.5,5762.5,-0.305,51.3,33.835,158.4263985053856,17.387431561717168,5
"Fresno, CA",35959.0,95037.0,5.285853332962541,29716.78612800047,0.3126864918715918,2.9045301593481465,29919.0,15804.6648749999,52211.0,302.7075688073376,1.0616815934556532,0.0024707437130106,2.308557529564021,1.9207912546796613,1.9078091818526413,1.0146549709229131,11.421791111822245,15576.393284334124,90.2451373040942,0.942060745285918,0.4057914065924101,1.545584153228447,5.633724767129636,57109,310097,0.5529999999999999,0.089,990204,333357,24446,97891,113706,74054,55168915.0,0.0,189320.0,0.0,1656089.0,0.0,0.0,0.0,0.0,0.0,1224555.0,5327914.0,0.0,0.0,0.0,1062.0,3741.0,-1.46,57.6,9.62,63.57081398271399,6.027854690679494,4
