msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,MSA,Carbon Dioxide,Methane,Nitrous Oxide,_merge
"Brownsville-Harlingen, TX",15184,40115,5.283851422550053,10338.105756999952,0.2577117227221726,2.815595363540569,12290,5519.015506000018,21369,258.2720532547156,1.068539078009165,0.0044456923580888,3.920060420297138,3.172915079389609,2.668993624793302,1.4248468285087492,10.41596344950044,3873.409685570373,"Brownsville-Harlingen, TX",1866858.85503107,154.9916488535,30.3611636834,both
"Boston-Cambridge-Newton, MA-NH",166287,415686,4.999621136949972,70762.2086919996,0.17022995408072347,2.696398395545052,132633,38059.163872000325,224475,169.54745014812482,1.093933780479568,0.0283995990644837,15.000228940013931,11.96440710940042,6.3832369979675985,3.433197852781708,271.781972619872,11085.630803701955,"Boston-Cambridge-Newton, MA-NH",3041779.842122637,242.8853354652139,44.037911421718285,both
"Brunswick, GA",11009,27385,4.975020437823599,9346.181532000037,0.3412883524557252,2.605141248069761,8082,4869.108120999992,14310,340.25912795248024,1.092856360740593,0.0115303983228511,2.648827695256525,1.9445749326063435,2.2487441626720637,1.1715349661280077,2.377118692590903,4156.178229227491,"Brunswick, GA",427524.4616878783,40.488457892532665,4.824179003714266,both
"Burlington, NC",8557,21105,4.932803552646956,5343.392991999999,0.25318137844112765,2.55685403763001,6132,2745.2659540000136,10901,251.83615760022136,1.0589585732143114,0.0072470415558205,7.610602514885873,5.453805611929434,4.752417920175148,2.441641693764528,3.3694901483632425,1124.3525047147098,"Burlington, NC",873137.58122772,85.43781505275899,17.730567215,both
"Burlington-South Burlington, VT",10854,26095,4.808365579509858,9185.818646999971,0.3520145103276478,2.480375898286346,7690,4727.688385000015,13448,351.5532707465805,1.0888534763263316,0.024390243902439,2.788371537689015,1.9755460774671572,2.3598189852282787,1.2145339719731885,8.325908385996573,3892.594603442168,"Burlington-South Burlington, VT",468376.8350168673,44.57730479874534,5.343873960899999,both
"Canton-Massillon, OH",19333,52480,5.429059121708995,12510.681192999895,0.2383895044397846,2.800600010345006,15322,6435.014273000001,26977,238.5370601994292,1.0507645934026992,0.0040775475404974,7.6275839048831955,6.045095980480025,4.935926680124704,2.5388512541472323,7.337700607238546,2534.6164973187606,"Canton-Massillon, OH",976369.5053178221,103.8613778157341,16.2480827696955,both
"Buffalo-Cheektowaga, NY",30091,81425,5.411917184540228,20889.06531700024,0.25654363299969596,2.871955069622146,25522,11079.167473999943,43224,256.3198101517662,1.0570463450308498,0.0138349065334073,4.92741871234684,4.1792423108742165,3.4205965679579395,1.8142201033070284,45.03849009507663,6106.848586786367,"Buffalo-Cheektowaga, NY",2249995.29205232,232.193859078998,34.55654946545,both
"Cape Girardeau, MO-IL",8862,21982,4.960956894606183,9437.40486399999,0.4293242136293326,2.561611374407583,6369,4811.705714999984,11299,425.85235109301567,1.0934348794841078,0.0061067351093017,2.344863758520753,1.6852219902977514,2.497114493351506,1.2731656903374686,1.15135371798551,3779.3240514709287,"Cape Girardeau, MO-IL",262231.406221318,19.95852440700767,3.451272624160666,both
"Cape Coral-Fort Myers, FL",43551,110468,5.073040802737021,19121.29659699978,0.17309353475214342,2.8562145530527427,36063,10604.65233600008,62302,170.21367429617158,1.0820652057792306,0.0231774260858399,13.877764546299026,11.491672357309405,6.0931058297883345,3.379230516276758,48.062355039050246,3138.1855380745988,"Cape Coral-Fort Myers, FL",4273330.3649160005,374.2225233454,51.4994806479,both
"Carbondale-Marion, IL",15822,39644,5.0112501580078375,11298.887853000142,0.2850087744173177,2.573821261534572,11281,5814.3062949999785,20298,286.44725071435505,1.0798829926653553,0.0133510690708444,4.37162358777625,3.1169438562573557,3.1218862756803163,1.606494662228406,4.213465854965188,3619.250304221253,"Carbondale-Marion, IL",323837.8801022503,24.68503480049833,4.387607587017,both
"Casper, WY",5774,15528,5.378593695878074,8166.183903999978,0.5259005605358048,2.772081745756841,4557,4216.255106999993,7972,528.8829788008019,1.1079744986283624,0.0022579026593075,0.4149340853968152,0.3274774207054532,0.5868424055054423,0.302990640218686,1.3966645497360155,13915.463210206346,"Casper, WY",696521.44751558,63.485748333100005,10.917184544,both
"Chambersburg-Waynesboro, PA",7228,18575,5.139734366353071,6737.179098000005,0.3627014319246301,2.6411178749308246,5526,3456.835800000006,9498,363.9540745420095,1.079661927810267,0.0097915350600126,3.607829781685535,2.758282702489522,3.3628383224008997,1.7254669548473662,4.745853124578187,2003.4204597710168,"Chambersburg-Waynesboro, PA",1018770.8103441,82.065453239135,18.6746090536,both
"Cedar Rapids, IA",14163,38954,5.5008119748640825,15512.251311999964,0.3982197287056519,2.8830050130622045,11677,8088.96218,20346,397.5701454831417,1.0414299434985197,0.0067335102722893,2.710385106714321,2.2346372160632018,2.9685924541166697,1.5479914298840225,14.45945952774668,5225.456694295805,"Cedar Rapids, IA",544724.6091789304,51.530770718173336,8.604513237166667,both
"Champaign-Urbana, IL",10905,31189,5.720128381476387,12025.52401599993,0.3855693999807602,2.981292984869326,9329,6257.4146349999855,16189,386.5226162826602,1.0277261998607947,0.0198282784606831,2.927356411998085,2.5042923399844232,3.2281517501948054,1.6797508348737151,10.81752157947859,3725.2040630599968,"Champaign-Urbana, IL",690517.3866182155,46.449710907988496,8.452762272705,both
"Charleston, WV",19782,45587,4.608937417854615,17886.359721999725,0.3923565867900876,2.399454049135578,12998,9318.266830000011,23627,394.3906052397686,1.1688510431915955,0.0061793710585347,2.8643097295609894,1.8820290094446332,2.5898328873800223,1.3492266880909147,13.04791450942498,6906.376009493908,"Charleston, WV",362691.74990229995,28.547796533989242,4.42498895474,both
"Charleston-North Charleston, SC",43999,105673,4.803427350621605,25334.05170300016,0.23974006324226765,2.5582854155776267,32118,13318.320744999995,56448,235.9396390483276,1.0845311668451778,0.0108949829931972,5.583251257241904,4.075612261189924,3.214763426937136,1.6900277516278135,29.0475608186785,7880.533755834457,"Charleston-North Charleston, SC",1628729.3703416067,145.89844972183332,23.65037014556667,both
"Charlottesville, VA",13047,29496,4.521499195217292,11219.546868999816,0.3803751989761261,2.3999386832221967,8629,5836.539310999981,15628,373.4668102764257,1.1289379250294902,0.0161249040184284,3.0361801446552565,2.0080630388771525,2.610911737233563,1.35822677776945,5.652871172725456,4297.175852021594,"Charlottesville, VA",254615.84567006,20.711231115462,4.489879301688,both
"Chattanooga, TN-GA",33250,80732,4.85606015037594,21448.34620300031,0.2656734157830886,2.510827067669173,23525,11179.346882000154,41691,268.1477268954967,1.1142391748631677,0.009402508934782,5.97871891086425,4.230056011370872,3.856650618064403,2.0101706049481383,41.29371206117299,5561.392080095896,"Chattanooga, TN-GA",685844.5767690877,46.159997153232666,9.938252818532833,both
"Cheyenne, WY",6626,18189,5.490190159975853,8465.060044000025,0.46539447160371794,2.8892242680350138,5492,4472.443615999992,9546,468.5149398701018,1.0726485579773153,0.0026188979677351,0.9535182137226864,0.7903293132757311,1.2181691717793828,0.643609485014148,4.947734084638125,6949.002027062539,"Cheyenne, WY",1129715.07252752,77.5699581079,15.8775303402,both
"Charlotte-Concord-Gastonia, NC-SC",129839,307364,4.734540469350503,72915.0664159995,0.2372270871539917,2.519535732715132,91507,38486.16903800027,163720,235.07310675543775,1.0739433591608556,0.0079403860249205,8.783879885811132,6.190639921063157,4.932856732292152,2.603669822586571,160.87794872460876,14781.509047013824,"Charlotte-Concord-Gastonia, NC-SC",1348198.8167770703,108.71350862338508,21.796606151109764,both
"Chico, CA",13425,32244,4.803575418994414,10575.26123300008,0.3279760958007716,2.4764245810055865,9020,5410.18761600004,16600,325.91491662650844,1.1453268899918907,0.0043975903614457,3.092410983615219,2.0777316254904488,2.4359816753467167,1.246221497738366,7.338830056155094,4341.272900377991,"Chico, CA",1177009.4571366,39.2708038999,16.4939069122,both
"Cincinnati, OH-KY-IN",79943,190256,4.759791351337828,51731.28706799957,0.2719035776427528,2.524361107288944,55840,27295.976974000067,101209,269.6991075299634,1.0774668454764966,0.0091592644922882,6.660834128794059,4.652577183141242,4.310240076416626,2.274295122864997,142.47899459492942,12001.950274428113,"Cincinnati, OH-KY-IN",785483.4437495925,68.9340248476117,11.414909689713125,both
"Clarksville, TN-KY",17867,44029,4.928527452846029,16351.882206999711,0.37138890747007003,2.55868360664913,13006,8510.266797000024,22809,373.1100353807718,1.098384505932832,0.0087246262440264,3.078206050545328,2.2407313982981214,2.8171748333458893,1.4661865308266906,5.439656461524104,5804.354778925447,"Clarksville, TN-KY",489389.96242911357,34.861983316083,6.884824591075,both
"Cleveland, TN",7410,18105,4.886639676113361,6093.387561999955,0.3365582746202681,2.5473684210526315,5379,3153.1721869999865,9395,335.6223722192641,1.129790839159883,0.0077700904736562,3.696985466640782,2.683682162626285,3.0401032738628264,1.5731756746497816,4.20652208558856,2004.335712667272,"Cleveland, TN",435397.903251989,34.0927242478,7.60913652175,both
"Chicago-Naperville-Elgin, IL-IN-WI",264614,704691,5.326180776527319,131327.43960599776,0.1863617381320292,2.892110772672648,218762,71755.04228499983,383224,187.2404710691393,1.058542230351346,0.0127053629209026,10.667107244415948,8.818723555831973,5.2940656292249715,2.8925859228222786,334.47668850830496,24806.537886690978,"Chicago-Naperville-Elgin, IL-IN-WI",2907029.672379157,281.2324437390963,44.03233151459764,both
"Cleveland-Elyria, OH",56679,149681,5.281709275040138,34623.03371899912,0.23131214862941263,2.7743079447414387,46048,18464.610529999805,78691,234.6470438804921,1.0586413812359594,0.0227853248783215,5.505988189681926,4.473257187996848,3.363397638415784,1.793714206412524,57.85508304155945,10294.064943004223,"Cleveland-Elyria, OH",2350188.090932103,207.19861390551895,29.14934514592,both
"Coeur d'Alene, ID",10319,26047,5.048357398972769,9557.349552999967,0.3669270761699992,2.6633394708789613,7775,4971.967374999981,13715,362.520406489244,1.2158810146339367,0.0051768137076193,3.025890878733579,2.279901306536833,2.802548390085381,1.4579543298162012,2.2973864075276174,3410.235336813862,"Coeur d'Alene, ID",1166913.8376416499,113.1082245243,22.0107923171,both
"Colorado Springs, CO",37008,91141,4.9254755728491135,20661.30654499991,0.22669607031961364,2.67960981409425,28150,11026.795962000017,49654,222.07266206146568,1.1001536295319323,0.0076529584726306,5.317528875457404,4.044758912779018,2.968739033660669,1.5843954261703466,35.79102936606159,6959.623702432014,"Colorado Springs, CO",1629265.921910047,161.9193043593135,31.564236932631502,both
"College Station-Bryan, TX",15470,38345,4.957336780866193,12708.179944999856,0.33141687169122064,2.6641241111829346,11613,6708.741131000005,20592,325.7935669677547,1.0759424076526756,0.0046134421134421,2.7929926655877555,2.096640195570175,2.294366734282741,1.2112129782941123,6.270639150771733,5538.861662833799,"College Station-Bryan, TX",547052.31467706,31.935013634533334,6.441819061333334,both
"Columbia, MO",13860,34171,4.930880230880231,12692.942315000097,0.37145363948962845,2.574603174603175,10133,6554.215299000012,17795,368.3178026973876,1.0860436262836657,0.0087665074459117,3.094361063664004,2.262277103759549,2.8338056625447003,1.4632834505120178,5.40129067098143,4479.115305176605,"Columbia, MO",524605.9086857407,35.43745514453167,6.4480323326,both
"Columbus, GA-AL",20876,52155,4.996646867215942,17559.227326000055,0.33667390137091463,2.6362808967235103,15725,9247.18559799999,27444,336.94744199096306,1.0831836091352125,0.0058300539279988,2.8627220494636543,2.156366364620424,2.407893621272517,1.2680648642880494,15.593812065599826,7292.360082220076,"Columbus, GA-AL",300984.7804043764,22.736773179324427,4.805249274380301,both
